task,dataset,metric,n,auc,spearman,best_f1,n_valid,n_invalid
aut,augmented,wordcount,2000,0.45500949999999996,0.07998237342819589,0.6666666666222222,1000,1000
aut,augmented,gemini,2000,0.844704,-0.6542978131998982,0.8294346978057826,1000,1000
aut,augmented,nvidia,1970,0.8225631067560897,-0.5588514396354166,0.7980722891067644,987,983
aut,augmented,perplexity,1635,0.6159346241006005,0.20037424003733995,0.6963855421231867,764,871
dpt,augmented,wordcount,2000,0.68805,-0.32787689568064976,0.6862514688125105,1000,1000
dpt,augmented,gemini,1990,0.9063310586410025,-0.7317682875812904,0.8443298968572471,996,994
dpt,augmented,nvidia,1938,0.7733897077617792,-0.4736597946303981,0.7694431660803693,970,968
dpt,augmented,perplexity,1883,0.7409619079914095,0.41695269429038073,0.6987714987221656,983,900
meta,augmented,wordcount,1560,0.5598742603550296,-0.1088338495050344,0.6672398967739952,780,780
meta,augmented,gemini,1560,0.8549285009861933,-0.6306313622996755,0.7735068006599393,780,780
meta,augmented,nvidia,1560,0.9010231755424065,-0.6946121970856616,0.8319697922722318,780,780
meta,augmented,perplexity,1144,0.699782690420957,0.3460333903175643,0.6796536796052292,573,571
